source,target
"It opens only in a time of summer , mainly for tourists .","It opens only in the summertime , mainly for tourists ."
"Because of that , there are no regular employees , at the beginning of every summer new season stuff is hired .","Because of that , there are no regular employees , so at the beginning of every summer new season staff are hired ."
So I decided to give it a try and I applied for that job .,So I decided to give it a try and I applied for that job .
It was the best summer ever .,It was the best summer ever .
"You know how much I love watching movies , especially in small and cosy movie theatres .","You know how much I love watching movies , especially in small and cosy movie theatres ."
It was like working in a paradise .,It was like working in paradise .
My duties were pretty simple .,My duties were pretty simple .
"Selling tickets , snacks and drinks , cleaning the place after and before the shows , so work itself was n't the exciting part .","Selling tickets , snacks and drinks , cleaning the place after and before the shows , so work itself was n't the exciting part ."
The main reason why I loved to work there and every day I went to work with a big smile on my face were the possibilities to watch every show I wanted .,The main reason why I loved working there and every day I went to work with a big smile on my face were the possibilities to watch every show I wanted .
"There is only one auditorium so I was busy just between the shows and sometimes , for family shows , there was a 15 minutes break in the middle of the show , for the kids to use the toilet or buy more snacks and drinks .","There is only one auditorium , so I was busy just between the shows and sometimes , for family shows , there was a 15 minute break in the middle of the show , for the kids to use the toilet or buy more snacks and drinks ."
"I watched almost every shown movie , some of them for more than once .","I watched almost every movie shown , some of them more than once ."
"When my work there came to an end , I was happy , but on the other hand , I felt some kind of sadness too .","When my work there came to an end , I was happy , but on the other hand , I felt some kind of sadness too ."
"I mean , it was September , so I had a one whole month of vacation ahead of me to do whatever I wanted to and it was awesome because I could finally just relax , sleep , read books and spend a lot of time with my loved ones .","I mean , it was September , so I had one whole month of vacation ahead of me to do whatever I wanted to and it was awesome because I could finally just relax , sleep , read books and spend a lot of time with my loved ones ."
"On the other hand , I was sad to leave that job .","On the other hand , I was sad to leave that job ."
"This place really stole my heart and I miss its atmosphere , regular visitors and people I worked with .","This place really stole my heart and I miss its atmosphere , regular visitors and the people I worked with ."
I 'm planning to work there for the next summer too .,I 'm planning to work there for the next summer too .
"As you can see , my summer was great .","As you can see , my summer was great ."
How about yours ?,How about yours ?
I remember you were saying something about planning to go to India .,I remember you were saying something about planning to go to India .
How was the trip ?,How was the trip ?
I bet it is an interesting story .,I bet it is an interesting story .
Maciej,Maciej
Date : 27 Sep 2014,Date : 27 September 2014
"Dear Ms Leung ,","Dear Ms Leung ,"
Re : Application for Primary 1,Re : Application for Primary 1
"Thanks for granting our daughter , Cheung Tsz Huan the first interview held on 27 September 2014 .","Thanks for granting our daughter , Cheung Tsz Huan , the first interview held on 27 September 2014 ."
"We do hope that she can be granted a second interview as we are very appreciated with your school vision , upholding the spirit of Faith , Hope and Love to nurture students .","We do hope that she can be granted a second interview as we really appreciate your school vision , upholding the spirit of Faith , Hope and Love to nurture students ."
"As evidenced by the school visit toured by a polite , cheerful and confident P2 student under the Angel Scheme , we opine your school vision has been managed to a large extent .","As evidenced by the school visit guided by a polite , cheerful and confident P2 student under the Angel Scheme , we think your school vision has been successful to a large extent ."
"Further , this has extended to the secondary school .","Further , this has extended to the secondary school ."
"Our elder daughter , Tsz Yin who is currently in Form 4 of St. Paul 's Co - educational College Secondary School ( "" SPCC "" ) , greatly enjoys her school life and at the same time achieved good results in the past three years .","Our elder daughter , Tsz Yin , who is currently in Form 4 of St. Paul 's Co - educational College Secondary School ( "" SPCC "" ) , greatly enjoys her school life and , at the same time has , achieved good results in the past three years ."
She highly recommends your school to Tsz Huan and us .,She highly recommends your school to Tsz Huan and us .
And she has written a letter to you asking for granting Tsz Huan an opportunity to grow up in the family of St Paul 's .,And she has written a letter to you asking to for grant Tsz Huan an opportunity to grow up in the family of St Paul 's .
"It goes without saying , we would like to provide the best we can for the development of our children - Tsz Yin and Tsz Huan .","It goes without saying , we would like to provide the best we can for the development of our children - Tsz Yin and Tsz Huan ."
"To share and learn child - rearing tips with other parents , my wife joins the SPCC monthly book club .","To share and learn child - rearing tips with other parents , my wife attends the SPCC monthly book club ."
"To enhance our parent - child relationship and facilities our understanding of her school and social life , we participate in kindergarten 's volunteer group .","To enhance our parent - child relationship and facilitate our understanding of her school and social life , we participate in the kindergarten 's volunteer group ."
"In addition , we spend at least 3 hours together with Tsz Huan every day - reading , talking , painting and playing games .","In addition , we spend at least 3 hours with Tsz Huan every day - reading , talking , painting and playing games ."
"We regularly go to parks , libraries , museums , visit the countryside together , and occasionally go on family holidays overseas .","We regularly go to parks , libraries , museums , visit the countryside together , and occasionally go on family holidays overseas ."
"Tsz Huan is a lively , cheerful and curious girl .","Tsz Huan is a lively , cheerful and curious girl ."
"She enjoys reading , performing arts including painting , dancing , music and sports , swimming in particular .","She enjoys reading , performing arts , including painting , dancing , music and sports , swimming in particular ."
"Her teachers complimented her as being focused , creative and eager to learn .","Her teachers have complimented her on being focused , creative and eager to learn ."
"As parents of Tsz Huan , we are keen to work with the school and be part of their development .","As the parents of Tsz Huan , we are keen to work with the school and be part of its development ."
Tsz Yin very much cherishes her experience at St. Paul 's and we sincerely hope that Tsz Huan can have the opportunity to benefit from the quality education your school provides .,Tsz Yin very much cherishes her experience at St. Paul 's and we sincerely hope that Tsz Huan can have the opportunity to benefit from the quality education your school provides .
Thank you for your kind consideration .,Thank you for your kind consideration .
The line graph illustrates the amount and type of fast food eaten by teenagers in Australia between 1795 and 2000 .,The line graph illustrates the amount and type of fast food eaten by teenagers in Australia between 1795 and 2000 .
"As an overall trend , it is clear that consumption of fish and chips decreased over the period while the amount of pizzas and hamburgers eaten increased during the same period .","As an overall trend , it is clear that consumption of fish and chips decreased over the period while the amount of pizzas and hamburgers eaten increased during the same period ."
In 1975 the consumption of fish and chips was ten times higher than the consumption of the other two types of fast food .,"In 1975 , the consumption of fish and chips was ten times higher than the consumption of the other two types of fast food ."
"However , the quantity of fish and chips plates eaten per year declined from 100 times per year in 1975 to just over 80 times in 1980 .","However , the quantity of fish and chips eaten per year declined from 100 times per year in 1975 to just over 80 times in 1980 ."
"Then , there was a slight increase to about 95 times per year in 1985 .","Then , there was a slight increase to about 95 times per year in 1985 ."
"After that , this trend kept falling and reached the lowest point in 2000 ( just under 40 times that year ) .","After that , this trend kept falling and reached the lowest point in 2000 ( just under 40 times that year ) ."
"In contrast , the consumption of hamburgers and pizzas started at about 10 times for hamburgers and 5 times for pizzas in 1975 , and then rose constantly until it reached approximately 100 times and 85 times respectively in 1995 .","In contrast , the consumption of hamburgers and pizzas started at about 10 times for hamburgers and 5 times for pizzas in 1975 , and then rose constantly until it reached approximately 100 times and 85 times , respectively , in 1995 ."
It then levelled off during the next 5 years .,It then levelled off during the next 5 years .
The purpose of this literature review is to provide the clear picture about motivation and business strategy of entrepreneurs in their start - ups .,The purpose of this literature review is to provide a clear picture of the motivation and business strategy of entrepreneurs in their start - ups .
The literature review contains three main parts .,The literature review has three main parts .
"Firstly , the review of literature will define the word "" entrepreneurship "" in business context .","Firstly , the review of literature will define the word "" entrepreneurship "" in a business context ."
"Following that , the next section will examine the entrepreneur 's motivations , which contains 2 major aspects : intrinsic personality traits and extrinsic factors .","Following that , the next section will examine the entrepreneur 's motivations , which covers 2 major aspects : intrinsic personality traits and extrinsic factors ."
"Thirdly , the current opportunities and challenges of Vietnamese Food market will be reviewed , coming together with the literature of Vietnamese entrepreneurs ' motivation .","Thirdly , the current opportunities and challenges of the Vietnamese food market will be reviewed , combined with the literature of Vietnamese entrepreneurs ' motivation ."
"Finally , the problems facing and business strategy will be introduced and explored .","Finally , the problems facing and business strategy will be introduced and explored ."
The conceptual framework will conclude the literature review and open up the subjects which this thesis will explore .,The conceptual framework will conclude the literature review and open up the subjects which this thesis will explore .
For the work at the Green Pepper Cafe .,For the work at the Green Pepper Cafe .
"Hello , Mrs Ashby . I want to work in your cafe .","Hello , Mrs Ashby . I want to work in your cafe ."
I think the job would be perfect for me .,I think the job would be perfect for me .
"My free time only allows me to work at weekends , which is why your place is perfect for me , and I also love the food there and people are always nice .","My free time only allows me to work at weekends , which is why your place is perfect for me , and I also love the food there and people are always nice ."
"The place is very near where I live , and I 've worked in a lot of Cafes before , unfortunately I had to leave them for school and college .","The place is very near where I live , and I 've worked in a lot of Cafes before , but unfortunately , I had to leave them for school and college ."
"I know how to deal with people , I 'm very sociable and would try my best to be the nicest person alive .","I know how to deal with people , I 'm very sociable and would try my best to be the nicest person alive ."
"Work in the Cafe will also allow me to meet people from the neighborhood , which is very important for me right now , since I just moved in .","Work in the Cafe will also allow me to meet people from the neighborhood , which is very important for me right now , since I just moved in ."
"Sometimes I do n't have time for myself to have fun , and for what I can see from your place , it is very popular and full of fun people .","Sometimes I do n't have time for myself to have fun , and from what I can see from your place , it is very popular and full of fun people ."
"I can show all my recommendation letters from my previous jobs , but I 'll say right now that they all say good things about me .","I can show all my recommendation letters from my previous jobs , but I 'll say right now that they all say good things about me ."
"I do n't want to look like a jerk , that 's not it .","I do n't want to look like a jerk , that 's not it ."
I really work hard .,I really work hard .
I take my jobs seriously and try my best to never let my bosses down .,I take my jobs seriously and try my best to never let my bosses down .
"I try to never let my personal problems interfere in my professional life , and if it does some day , I would ask you to tell me , so I can change .","I try to never let my personal problems interfere in my professional life , and if it does some day , I would ask you to tell me , so I can change ."
I think you will like me .,I think you will like me .
"I 'm very eclectic , but also fierce where I should be .","I 'm very eclectic , but also fierce when I should be ."
"I always have respect for my bosses and , of course , clients .","I always have respect for my bosses and , of course , clients ."
I really want this .,I really want this .
It would mean so much to me .,It would mean so much to me .
"I 'm totally free at weekends , so I can work long hours , plus I live very near and could help in some emergency if you need someday .","I 'm totally free at weekends , so I can work long hours , plus I live very near and could help in some emergency if you need someday ."
"I will never miss a day , unless it is very important , you can be sure of that .","I will never miss a day , unless it is very important , you can be sure of that ."
"I may not know how to cook the usual food from the cafe , but I am a fast learner . I will only need one day to get used to the food and learn how to practise at home , and then it 's up to me find a way to be good at it .","I may not know how to cook the usual food of the cafe , but I am a fast learner . I will only need one day to get used to the food and learn how to practise at home , and then it 's up to me to find a way to be good at it ."
I 'll take my time to practise everything I can at home .,I 'll take my time to practise everything I can at home .
I wo n't be much problem for anyone .,I wo n't be much trouble for anyone .
"I could say that I am a funny person , but that would be a lie .","I could say that I am a funny person , but that would be a lie ."
I 'm not .,I 'm not .
"My father said one day that , as a humorist , I 'm a very good singer , and I do n't even sing .","My father said one day that , as a humorist , I 'm a very good singer , and I do n't even sing ."
"I 'll be nice , though .","I 'll be nice , though ."
I 'll make them love me .,I 'll make them love me .
I hope you can give me a chance to show how much I want this job .,I hope you can give me a chance to show how much I want this job .
"Yours , Geédes .","Yours , Geédes ."
"Set in in the late 1950s France , Chocolat deals with the topic of society discriminating against different people because of their being different : whether they are gypsies , women that do n't depend on men , or people that do n't share the Christian faith .","Set in in late 1950s France , Chocolat deals with the topic of society discriminating against different people because of their being different : whether they are gypsies , women that do n't depend on men , or people that do n't share the Christian faith ."
"The plot revolves around Vianne Rocher , a single mother and chocolate expert , opening a ' chocolaterie ' right before Lent in a small , close - minded French village , the mayor of which decides to boycott her .","The plot revolves around Vianne Rocher , a single mother and chocolate expert , opening a ' chocolaterie ' right before Lent in a small , closed - minded French village , the mayor of which decides to boycott her ."
"During Lent , the protagonist gets to know other outcasts ( mainly women ) and help them .","During Lent , the protagonist gets to know other outcasts ( mainly women ) and helps them ."
"However , Vianne must learn to solve her own problems and change the course of her own life .","However , Vianne must learn to solve her own problems and change the course of her own life ."
"One of the strengths of the film is its star - studded cast : Juliette Binoche as Vianne , Alfred Molina as the mayor , Judi Dench as a grumpy , elder woman resented with the oppressing society of the village , and a young Johnny Depp as a handsome gypsy arriving in town with his caravan .","One of the strengths of the film is its star - studded cast : Juliette Binoche as Vianne , Alfred Molina as the mayor , Judi Dench as a grumpy , elderly woman resented with the oppressing society of the village , and a young Johnny Depp as a handsome gypsy arriving in town with his caravan ."
Each and every one of the roles is beautifully written and the actors do n't fail in bringing them to life .,Each and every one of the roles is beautifully written and the actors do n't fail in bringing them to life .
"Besides the cast , I would like to highlight the original soundtrack .","Besides the cast , I would like to highlight the original soundtrack ."
"It adapts perfectly to the theme of the movie , with a little bit of jazz manouche , a popular genre amongst European gypsy communities , and reminiscences of Mexican folklore , as the recipes Vianne Rocher prepares in the ' chocolaterie ' are a heritage from her Maya ancestors .","It suits perfectly the theme of the movie , with a little bit of jazz manouche , a popular genre amongst European gypsy communities , and reminiscences of Mexican folklore , as the recipes Vianne Rocher prepares in the ' chocolaterie ' are a heritage from her Mayan ancestors ."
"If I had to find a down side to Chocolat , it would be that the film format does not allow us to have a deeper look into some of the characters and their storylines .","If I had to find a downside to Chocolat , it would be that the film format does not allow us to have a deeper look into some of the characters and their story lines ."
"Had it not been written in the year 2000 , but today , I am sure that this story would have been turned into a successful TV series in which we could have learnt more about the past and the future of those fantastic characters .","Had it not been written in the year 2000 , but today , I am sure that this story would have been turned into a successful TV series in which we could have learnt more about the past and the future of those fantastic characters ."
"All in all , this is a gripping , moving , and entertaining film that will make you reflect on some social issues .","All in all , this is a gripping , moving , and entertaining film that will make you reflect on some social issues ."
"A must - see if , like me , you enjoy cinema with strong female characters on the lead roles , but you do not necessarily want to watch another dramatic story .","A must - see if , like me , you enjoy cinema with strong female characters in the lead roles , but you do not necessarily want to watch another dramatic story ."
Michael Clifford was a lucky man who had everything he could ever want : he was a thirty - year - old English businessman married to a sophisticated mathematician with whom he had two sons and a pretty talented daughter ; he owned a successful corporation and had a gorgeous chalet near the sea .,"Michael Clifford was a lucky man who had everything he could ever want : he was a thirty - year - old English businessman married to a sophisticated mathematician with whom he had two sons and a pretty , talented daughter . He owned a successful corporation and had a gorgeous chalet near the sea ."
"One night , having ended a meeting with an important sponsor , Michael decided to enter a pub with one of his colleagues in order to celebrate the successful meeting .","One night , having ended a meeting with an important sponsor , Michael decided to enter a pub with one of his colleagues in order to celebrate the successful meeting ."
"He hardly ever drunk alcohol , but thought it would be impolite not to , as he had been invited by his colleague .","He hardly ever drank alcohol , but thought it would be impolite not to , as he had been invited by his colleague ."
"Therefore , he proceeded to have some drinks and to enjoy the night .","Therefore , he proceeded to have some drinks and to enjoy the night ."
"Later that night , while Michael was cheerful chatting with the barman , his mobile phone emitted a sound .","Later that night , while Michael was cheerfully chatting with the barman , his mobile phone emitted a sound ."
He took a look at it and saw a message from his wife .,He took a look at it and saw a message from his wife .
"Worried , he opened it and read , in horror , how his wife had had an accident and was in hospital .","Worried , he opened it and read , in horror , how his wife had had an accident and was in hospital ."
"He rushed out of the pub , open the car and went inside , not knowing that he was to die in an accident because of his current state .","He rushed out of the pub , opened the car door and got inside , not knowing that he was to die in an accident because of his current state ."
"Travelling has become a great part of our daily lives , whether we only go to the nearby grocery store or choose to visit our relatives who live in another country .","Travelling has become a great part of our daily lives , whether we only go to the nearby grocery store or choose to visit our relatives who live in another country ."
"Modern means of transport are constantly improving , being faster and more comfortable than ever before .","Modern means of transport are constantly improving , being faster and more comfortable than ever before ."
"However , it is a wise decision to choose carefully between public and personal transport , because they have both advantages and disadvantages depending on where we want to travel .","However , it is a wise decision to choose carefully between public and private transport , because they both have advantages and disadvantages depending on where we want to travel to ."
"On the one hand , personal cars are great because they allow people to travel whenever they want .","On the one hand , private cars are great because they allow people to travel whenever they want ."
This means they are able to have a flexible schedule .,This means they are able to have a flexible schedule .
"Another advantage of cars is the fact that they are family friendly , meaning that people who use them do n't have to worry about travelling with strangers who might be dangerous .","Another advantage of cars is the fact that they are family friendly , meaning that people who use them do n't have to worry about travelling with strangers who might be dangerous ."
"On the other hand , cars are not only expensive to purchase , they also require fuel , which is very expensive .","On the other hand , cars are not only expensive to purchase , they also require fuel , which is very expensive ."
"Sometimes it is cheaper to use public transport such as busses , trains or airplanes , depending on the distance .","Sometimes it is cheaper to use public transport , such as busses , trains or airplanes , depending on the distance ."
Travelling across the Atlatic Ocean for example requires an airplane or a ship .,"Travelling across the Atlantic Ocean , for example , requires an airplane or a ship ."
"Trains are a great way of transport across intercontinental distances , especially since they have become faster .","Trains are a great mode of transport across intercontinental distances , especially since they have become faster ."
"Statistically speaking , car accidents are much more frequent than plane crashes or train accidents , so public transport is not only cheaper sometimes , but it 's also safer and faster .","Statistically speaking , car accidents are much more frequent than plane crashes or train accidents , so public transport is not only cheaper sometimes , but it 's also safer and faster ."
"All in all , I believe that public transport will not disappear too soon .","All in all , I believe that public transport will not disappear very soon ."
"Airplanes , busses , trains or ships are here to stay because they are more practical in some situations .","Airplanes , busses , trains or ships are here to stay because they are more practical in some situations ."
"Time was ticking by and he knew that if he did n't do it now he would be in deep trouble , that his social life would be over .","Time was ticking by and he knew that if he did n't do it now , he would be in deep trouble , that his social life would be over ."
""" Tick "" .",""" Tick "" ."
"He seriously needed a break , a few minutes to relax .","He seriously needed a break , a few minutes to relax ."
""" Tock "" .",""" Tock "" ."
He was getting more and more nervous as the time passed by .,He was getting more and more nervous as the time passed by .
Time was n't passing fast enough for Peter .,Time was n't passing fast enough for Peter .
He knew he was n't going to make it .,He knew he was n't going to make it .
""" Ring ! "" The bell rang .",""" Ring ! "" The bell rang ."
Peter flew from the classroom and tried to squeeze himself between the multiple students that were evacuating their classes .,Peter flew from the classroom and tried to squeeze himself between the multiple students that were evacuating their classes .
All of them anxious to get outside and relax for a few hours Suffering from an endless punishment : knowledge .,All of them anxious to get outside and relax for a few hours suffering Suffering from an endless punishment : knowledge .
As he got near his destination the density of students seemed to grow and it was becoming even more difficult for him to advance in that sea of moving bodies .,"As he got near his destination , the density of students seemed to grow and it was becoming even more difficult for him to advance in that sea of moving bodies ."
"Fortunatley ,","Fortunately ,"
the bathroom was just a few meters away .,the bathroom was just a few meters away .
Poland is classed as a country with a hard history and a lot of places remind about it .,Poland is classed as a country with a hard history and a lot of places remind remind us about that .
"Besides their past we can , fortunately adore their beauty .","Besides their past , we can , fortunately , adore their beauty ."
"One of these places is , undoubtedly , Kazimierz , the Old Jewish district of Cracow .","One of these places is , undoubtedly , Kazimierz , the Old Jewish district of Cracow ."
"In this small part of Cracow , you can meet with Jewish culture and the architectural style .","In this small part of Cracow , you can meet with Jewish culture and architectural style ."
"First , you should visit the New Cemetery .","First , you should visit the New Cemetery ."
It was established in 1800 .,It was established in 1800 .
For those who enter it will be an ' unforgettable ' experience .,"For those who enter , it will be an ' unforgettable ' experience ."
"You walk among ancient , fallen tombs shaded by high trees of great age .","You walk among ancient , fallen tombs shaded by tall trees of great age ."
"Then , you really must visit the synagogues : The Temple Synagogue , Isaac Synagogue , The Tall Synagogue and Remuh Synagogue .","Then , you really must visit the synagogues : The Temple Synagogue , Isaac Synagogue , The Tall Synagogue and Remuh Synagogue ."
The synagogue is still being used as a place of prayer for the few remaining Jewish people in Cracow or for visitors from Israel or other parts of the world .,The synagogue is still being used as a place of prayer for the few remaining Jewish people in Cracow or for visitors from Israel or other parts of the world .
"For the history lovers , I recommend going to the Historical Museum of The History and Culture of Jewish People .","For the history lovers , I recommend going to the Historical Museum of The History and Culture of Jewish People ."
It is the oldest synagogue in Poland and was constructed in the XV century .,It is the oldest synagogue in Poland and was constructed in the XVth century .
"Inside there is an impressive number of handicrafts , graphics and paintings .","Inside there is an impressive number of handicrafts , graphics and paintings ."
"Finally , you can do shopping on The New Square , a round trading hall .","Finally , you can do shopping in The New Square , a round trading hall ."
"You can buy there almost everything : fresh fruits , vegetables , and household products .","You can buy almost everything there : fresh fruits , vegetables , and household products ."
"On Sundays , the gamut of products is much more bigger .","On Sundays , the range of products is much bigger ."
If you are a good browser you may find some original souvenirs of Cracow to take home with you .,If you are a good browser you may find some original souvenirs of Cracow to take home with you .
I think the Kazimierz is one of the most beautiful places in Poland .,I think the Kazimierz is one of the most beautiful places in Poland .
It 's appealing and full of this eerie spirit of the past .,It 's appealing and full of this eerie spirit of the past .
That 's why you must see it !,That 's why you must see it !
"Parents face with important decisions when raising children , not the least of which is whether or not they should allow their children to keep a pet .","Parents face important decisions when raising children , not least of which is whether or not they should allow their children to keep a pet ."
"Some parents would grasp in horror and reject it when their child asks them if he can keep a pet with him , whereas other parents would be more than happy to let their children have a pet .","Some parents would gasp in horror and reject it when their child asks them if he can keep a pet , whereas other parents would be more than happy to let their children have a pet ."
"In my view , I believe that children should have pets because they can benefit from taking care of pets , especially in terms of their personality development .","I believe that children should have pets because they can benefit from taking care of pets , especially in terms of their personal development ."
"Specifically , they learn to take responsibility when taking care of pets .","Specifically , they learn to take responsibility when taking care of pets ."
"Take my cat , Luka , for example , I found it on the streets and felt like keeping it with me when I was 12 years old .","Take my cat , Luka , for example . I found it on the streets and felt like keeping it with me when I was 12 years old ."
My mother told me that you would have to take care of it by yourself when I went to ask her if I could keep the cat .,My mother told me that I would have to take care of it by myself when I went to ask her if I could keep the cat .
"Since that day , I started to take care of on my own .","From that day , I started to take care of it on my own ."
"I took it to the hospital when it was sick , and bought it food when it needed to be fed .","I took it to the hospital when it was sick , and gave it food when it needed to be fed ."
I have therefore fostered a sense of responsibility since then .,I have therefore fostered a sense of responsibility since then .
"So , according to my personal experiences , I think that children can benefit from keeping a pet .","So , according to my personal experiences , I think that children can benefit from keeping a pet ."
"Some people might argue that it is always parents who take care of the pets most of the time , instead of children themselves .","Some people might argue that it is always parents who take care of the pets most of the time , instead of children themselves ."
"Namely , parents always do things for children , such as housework , homework , even taking care of the pets for their children .","Namely , parents always do things for children , such as housework , homework , even taking care of the pets for their children ."
"Nevertheless , what those people have claimed is a digression from the topic here .","Nevertheless , what those people have claimed is a digression from the topic here ."
This does not suggest that children can not learn from having a pet with them .,This does not suggest that children can not learn from having a pet .
"Why children can not learn is because of their parents , not because of the pets .","Why children can not learn is because of their parents , not because of the pets ."
"In other words , taking care of pets is absolutely beneficial to children so long as they are given an opportunity .","In other words , taking care of pets is absolutely beneficial to children so long as they are given an opportunity ."
"Moreover , children can also learn to sympathize with others by keeping a pet , apart from leaning to be responsible .","Moreover , children can also learn to sympathize with others by keeping a pet , apart from leaning to be responsible ."
"For instance , when Luka died when I was 20 years old , I was so sad and heart - broken as if one member was lost in our family .","For instance , when Luka died when I was 20 years old , I was so sad and heart - broken as if a member of our family had died ."
"After that day , I started to be able to sympathize with people who have lost their beloved ones because I have been through a similar situation .","After that day , I started to be able to sympathize with people who had lost their beloved ones because I have been through a similar situation ."
"Thus , keeping pets does enable people to be able to put themselves in others ' shoes .","Thus , keeping pets does enable people to be able to put themselves in others ' shoes ."
"Given upon my personal experiences , by taking care pets , children not only can learn to take responsibility , but also can learn to sympathize with others .","Based upon my personal experiences , by taking care of pets , children can not only learn to take responsibility , but can also learn to sympathize with others ."
"In other words , keeping pets is beneficial to children in terms of their personality development .","In other words , keeping pets is beneficial to children in terms of their personal development ."
"On the other hand , if children are not allowed to keep a pet , the parents will have to come up with other ways to make the children both responsible and sympathetic .","On the other hand , if children are not allowed to keep a pet , the parents will have to come up with other ways to make the children both responsible and sympathetic ."
We always believe that a city should never compromise the environment for the sake of development .,We always believe that a city should never compromise the environment for the sake of development .
Not only financial development but also the environment is essential to a healthy city .,"Not only financial development , but also the environment are essential to a healthy city ."
"With this belief , we endeavor to keep our city as clean and attractive as possible .","With this belief , we endeavor to keep our city as clean and attractive as possible ."
"Here , we are proud to report our accomplishments thus far .","Here , we are proud to report our accomplishments thus far ."
"We stick to the principle of 3Rs , namely reduce , reuse and recycle .","We stick to the principle of 3Rs , namely reduce , reuse and recycle ."
Reducing waste at source is always our top priority and education is of utmost importance in this regard .,Reducing waste at source is always our top priority and education is of the utmost importance in this regard .
Nothing is more difficult than changing one 's mindset given people 's inertia .,Nothing is more difficult than changing one 's mindset given people 's inertia .
"Hence , we have incorporated the concept of environmental protection into our curriculum so that students can develop an awareness of the matter at a young age .","Hence , we have incorporated the concept of environmental protection into our curriculum so that students can develop an awareness of the matter at a young age ."
"Different activities , including seminars and exhibitions have been held in different districts to spread the message of environmental conservation across the community .","Different activities , including seminars and exhibitions have been held in different districts to spread the message of environmental conservation across the community ."
"Recycling bins have been installed in every public housing estate and most housing estates , along with the road - side ones found in every district .","Recycling bins have been installed on every public housing estate and most housing estates , along with the road - side ones found in every district ."
"Public Housing Estate Recycle Competitions have also been held every year to promote the concept of recycling plastic , paper or tin and to help the residents cultivate such a habit in daily life .","Public Housing Estate Recycle Competitions have also been held every year to promote the concept of recycling plastic , paper or tin and to help the residents cultivate such a habit in daily life ."
We are glad that our work has started to bear fruits in recent years .,We are glad that our work has started to bear fruits in recent years .
We have seen a great drop in the number of solid waste .,We have seen a great drop in the amount of solid waste .
"Apart from keeping our city clean by reducing waste , we also dedicate ourselves to building a green city .","Apart from keeping our city clean by reducing waste , we also dedicate ourselves to building a green city ."
"Tree planting campaign is carried out every year in cooperation with schools , community centres , etc .","A tree planting campaign is carried out every year in cooperation with schools , community centres , etc ."
"Eco - tour is also promoted to educate the public and tourists to appreciate the beauty of nature and , above all , to arouse their awareness and cultivate a caring heart towards nature .","Eco - tours are also promoted to educate the public and tourists to appreciate the beauty of nature and , above all , to arouse their awareness and cultivate a caring heart towards nature ."
"With concerted efforts , we have made a great stride in environmental protection in recent years as seen in the declining number of waste and increasing number of greenery .","With concerted efforts , we have made great strides in environmental protection in recent years , as seen in the declining amount of waste and increasing amount of greenery ."
We believe we will continue to make progress and make our home a better place to live in .,We believe we will continue to make progress and make our home a better place to live in .
The round table ' Russia - Turkey : prospects of relations at the modern stage ' in St Petersburg State University,The round table ' Russia - Turkey : prospects of relations on the modern stage ' at St Petersburg State University .
"On April 29 , 2014 St. Petersburg state University hosted the round table "" Russia - Turkey : prospects of relations at the modern stage "" .","On April 29 , 2014 , St. Petersburg state University hosted the round table "" Russia - Turkey : prospects of relations on the modern stage "" ."
The event was held on the initiative of the Russian - Turkish Cultural Centre in St. Petersburg .,The event was held on the initiative of the Russian - Turkish Cultural Centre in St. Petersburg .
"The questions discussed at the round table : "" Moscow - Ankara : a new foreign policy and a new diplomacy "" , "" Energy cooperation as the core of the strategic partnership of Russia and Turkey in the XXI century "" , "" Eurasian dialogue : Russia - Turkey - historical and cultural experience of relationships .","The questions discussed at the round table : "" Moscow - Ankara : a new foreign policy and a new diplomacy "" , "" Energy cooperation as the core of the strategic partnership of Russia and Turkey in the XXI century "" , "" Eurasian dialogue : Russia - Turkey - historical and cultural experience of relationships ."
"Prospects for the future "" , "" Crimea between Russia , Ukraine and Turkey .","Prospects for the future "" , "" Crimea between Russia , Ukraine and Turkey ."
"Historical and political analysis "" , "" Internal policy of Turkey and its impact on Russian - Turkish relations "" and other aspects of political , economic and cultural cooperation between our countries .","Historical and political analysis "" , "" Internal policy of Turkey and its impact on Russian - Turkish relations "" and other aspects of political , economic and cultural cooperation between our countries ."
The international round table was devoted to the study of Russian - Turkish relations .,The international round table was devoted to the study of Russian - Turkish relations .
"Among those who delivered a speech at the opening were I.N. Novikova , the Dean of the SPSU School of International Relations and Professor ; V.S Yagja , the Head of the Department of World Politics of the SPSU School of International Relations , Doctor of History and Professor ; A.A. Sotnichenko , Associate Professor of the Department of Theory and History of International Relations of the SPSU School of International Relations ; Bekir Günay , Historian and Associate Professor of Istanbul University , the Director of the Eurasian Institute ; Ali Ertuğrul Turkeli , the General Secretary of the Turkish - Russian Cultural Foundation in Istanbul .","Among those who delivered a speech at the opening were I.N. Novikova , the Dean of the SPSU School of International Relations and Professor ; V.S Yagja , the Head of the Department of World Politics of the SPSU School of International Relations , Doctor of History and Professor ; A.A. Sotnichenko , Associate Professor of the Department of Theory and History of International Relations of the SPSU School of International Relations ; Bekir Günay , Historian and Associate Professor of Istanbul University , the Director of the Eurasian Institute ; Ali Ertuğrul Turkeli , the General Secretary of the Turkish - Russian Cultural Foundation in Istanbul ."
